P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
4.559625 -865.8848917323703 NaN -869.8286603345953 -874.0497883151249 NaN -867.0693837825295 NaN -855.6673457390643 -874.10852466704 -871.330894326551 -868.9704886142282 -868.1694651014008 -868.4582051502497 -865.2245652544508 -866.394325784616 NaN -861.402469143104 -869.6717993028677 NaN NaN NaN NaN NaN -869.4294097895319 -871.6736331722166 -867.1218413751197 -874.6281678429887 -861.1565789713111
4.812937499999999 -864.6595037370997 NaN -868.6816506863878 -872.9603056163188 NaN -866.0421530921841 NaN -854.288971731004 -873.0152499907159 -870.2866054732568 -867.9020004187148 -867.0824459148572 -867.3941085846669 -864.0658691889826 -865.2958207243507 NaN -860.4332027709813 -868.6371015997577 NaN NaN NaN NaN NaN -868.4093251930184 -870.6506569280308 -866.0898326590093 -873.5260215210787 -859.8669488137211
5.06625 -863.4359887905507 NaN -867.5360807702885 -871.8720187894875 NaN -865.0159407285994 NaN -852.913587139669 -871.9231807819181 -869.2433878862945 -866.8347255777121 -865.996676723577 -866.3312963574095 -862.9091818782488 -864.198628146276 NaN -859.4648757277561 -867.6036229860314 NaN NaN NaN NaN NaN -867.390331621295 -869.6286965589812 -865.0589596375024 -872.4250225397655 -858.5790774337489
5.3195625 -862.2143148257652 NaN -866.3918796223163 -870.7849117883613 NaN -863.9907358592245 NaN -851.5412082194279 -870.8323113902868 -868.201244844924 -865.7686731472711 -864.9121390543504 -865.2697579959627 -861.7544700210302 -863.1027471554954 NaN -858.4974743528365 -866.5713293651208 NaN NaN NaN NaN NaN -866.3724476397749 -868.607751594747 -864.0292124638966 -871.3251506457034 -857.293024117663
5.572875 -860.9944433899732 NaN -865.2490697908594 -869.698980941641 NaN -862.9665314014795 NaN -850.1718138096393 -869.7426361578777 -867.1601796208756 -864.70386406173 -863.8288089057223 -864.2094750980697 -860.6017310632334 -862.0081712443383 NaN -857.5309885396825 -865.540199506992 NaN NaN NaN NaN NaN -865.3556777853802 -867.5878166160164 -863.0005812634297 -870.2264287011636 -856.0087316036222
5.8261875 -859.7763538946027 NaN -864.1076868370101 -868.6142292578917 NaN -861.9433087971715 NaN -848.8053447546154 -868.6541445257628 -866.1201858269873 -863.6402826924865 -862.7466749600143 -863.1504323794126 -859.4509789314992 -860.9148787756303 NaN -856.5654167919087 -864.5102322913037 NaN NaN NaN NaN NaN -864.3400011066848 -866.5688716025462 -861.9730507858483 -869.1288688350061 -854.7260921023025
6.0794999999999995 -858.5600449249191 NaN -862.96772445888 -867.5306590948193 NaN -860.9210703266547 NaN -847.4417418984555 -867.5668220235017 -865.0812488540502 -862.5779134053678 -861.6657366052171 -862.0926187256213 -858.3021992678508 -859.8228640955549 NaN -855.6007577427719 -863.4814266819395 NaN NaN NaN NaN NaN -863.325396433085 -865.5509014319689 -860.9465995444119 -868.0324557733011 -853.4451096855213
6.3328125 -857.3455115845354 NaN -861.8291759230611 -866.4482621343631 NaN -859.8998408176535 NaN NaN -866.4806534736642 -864.0433586682925 -861.5167520679736 -860.5859864537589 -861.0360257046897 -857.1553547785438 -858.7321464115428 NaN -854.6370045328424 -862.4537626209284 NaN NaN NaN NaN NaN -862.3118512581011 -864.5339050926764 -859.9212016679706 -866.9371740884624 -852.1658291770498
6.586125 -856.132746763008 NaN -860.6920004328291 -865.3670288145356 NaN -858.8796450476696 NaN NaN -865.3956388482433 -863.006511015341 -860.456795898895 -859.5074210765216 -859.9806448846043 -856.010408185539 -857.6427255162689 NaN -853.67414129463 -861.4272237613337 NaN NaN NaN NaN NaN -861.2993652790752 -863.5178818534633 -858.8968470549081 -865.8430005493229 -850.8882449931255
6.8394375 -854.9217427560716 NaN -859.5561714231103 -864.2869450650054 NaN -857.8604601078969 NaN NaN -864.3117995123827 -861.9707085398863 -859.3980303479269 -858.430045477868 -858.9264603058231 -854.8673426846296 -856.5545806865125 NaN -852.7121622624859 -860.4018387691739 NaN NaN NaN NaN NaN -860.2879298406837 -862.5028305178516 -857.8735577136327 -864.7499301624321 -849.6123517383467
