P/GPa anatase baddeleyite brookite columbite cotunnite C2c fluorite hollandite 0-a-P21c 0-b-P21c 0-c-I41a 0-d-P31m 0-e-C2c 0-f-C2m 0-g-Im2m 40-a-Pnnm 60-a-R3 60-b-P21c 60-c-Pc 60-d-P62m 60-e-P21m 60-f-Pmn21 60-g-Pminus1 OIanalogue pyrite ramsdelliteAnalogue rutile TiO2B
6.0794999999999995 -880.6325468730026 NaN -885.5103215142791 -890.207574985764 NaN -883.2154858209614 NaN NaN -890.1243121974198 -887.372422959057 NaN -884.3199788299441 NaN -880.5672946357113 NaN NaN -877.0351830870911 -885.3965012183708 NaN NaN NaN NaN NaN -885.5165600962366 -887.8593569603461 NaN -890.7770396223469 -875.3541512826273
6.3328125 -879.4388649709754 NaN -884.3931016229076 -889.145562074817 NaN -882.2017162459673 NaN NaN -889.0729025435371 -886.3647483081936 NaN -883.2486288477176 NaN -879.44179016474 NaN NaN -876.1008988980935 -884.3941973736981 NaN NaN NaN NaN NaN -884.5299059798012 -886.868040669517 NaN -889.7085593576613 -874.0947767925505
6.586125 -878.2565374900997 NaN -883.2705003714361 -888.0848952940963 NaN -881.1925390801478 NaN NaN -888.0241328944818 -885.3585948815883 NaN -882.1808988000822 NaN -878.3194948958799 NaN NaN -875.1688611303709 -883.3943454525886 NaN NaN NaN NaN NaN -883.5450438961427 -885.8778008860605 NaN -888.6335151486971 -872.837414955748
6.8394375 -877.0768503739325 NaN -882.1533397913201 -887.024568734676 NaN -880.2018660310385 NaN NaN -886.9536399301164 -884.3383907836458 NaN -881.1373652668874 NaN -877.1974521545354 NaN NaN -874.2383699395497 -882.3924050647454 NaN NaN NaN NaN NaN -882.5583338505758 -884.8947197360469 NaN -887.557368056459 -871.5818324545072
7.09275 -875.8825396077596 NaN -881.0484896273739 -885.9647551701879 NaN -879.2134971380965 NaN NaN -885.8855001342531 -883.3204953907799 NaN -880.0965379120705 NaN -876.0780576168115 NaN NaN -873.3100983811755 -881.3922366853667 NaN NaN NaN NaN NaN -881.5738197410886 -883.9149382713035 NaN -886.4775799009606 -870.3223982404099
7.3460624999999995 -874.6931714665582 NaN -879.9442618978355 -884.9046817361718 NaN -878.2299189471809 NaN NaN -884.8197013517604 -882.3132770612998 NaN -879.0342427318707 NaN -874.9532164249847 NaN NaN -872.3820939137313 -880.3984401946814 NaN NaN NaN NaN NaN -880.598747236249 -882.9188507578231 NaN -885.4048753356453 -869.0667760569775
7.599374999999999 -873.5145068159468 NaN -878.8292086252261 -883.8487132912338 NaN -877.2475797923394 NaN NaN -883.7563441815253 -881.3081926575849 NaN -877.9731824971102 NaN -873.8323059341766 NaN NaN -871.4561295616683 -879.4077380041572 NaN NaN NaN NaN NaN -879.6270216045007 -881.9183200266684 NaN -884.3472212874647 -867.8153237661445
7.8526875 -872.3385914673631 NaN -877.71681742356 -882.7972011502749 NaN -876.2419580590774 NaN NaN -882.6928112258902 -880.2997668082469 NaN -876.9193436159346 NaN -872.7176450086562 NaN NaN -870.5258375642237 -878.4131722568745 NaN NaN NaN NaN NaN -878.6464831160356 -880.9246624044017 NaN -883.2833548844667 -866.5665222970101
8.106 -871.1589963789054 NaN -876.6060993302472 -881.7453033174711 NaN -875.2386222918979 NaN NaN -881.6316965195243 -879.2936378220618 NaN -875.8682798236921 NaN -871.6067558605447 NaN NaN -869.5970908904915 -877.419557414652 NaN NaN NaN NaN NaN -877.6666662485776 -879.9354699386888 NaN -882.2076824868657 -865.3151866526957
8.3593125 -869.9815530780766 NaN -875.4973485858466 -880.6904081278733 NaN -874.2528394568785 NaN NaN -880.5748545874333 -878.2867532988175 NaN -874.8250973713659 NaN -870.499539364399 NaN NaN -868.6670074040945 -876.4194717474855 NaN NaN NaN NaN NaN -876.684492294075 -878.953424083305 NaN -881.1364703697823 -864.0656610585513
8.612625 -868.8010552398805 NaN -874.3872295358058 -879.6374575777529 NaN -873.269623029822 NaN NaN -879.5205360034739 -877.2819356185266 NaN -873.7840843468643 NaN -869.3942061659786 NaN NaN -867.7384986175823 -875.4207761713544 NaN NaN NaN NaN NaN -875.704356841489 -877.9756874776276 NaN -880.0715227732499 -862.8090062743968
8.8659375 -867.6234616102374 NaN -873.2800429576239 -878.5861535853651 NaN -872.275719430541 NaN NaN -878.4658401694018 -876.275318627579 NaN -872.7354865700659 NaN -868.2800562931816 NaN NaN -866.8182360159187 -874.4316717997663 NaN NaN NaN NaN NaN -874.729283590073 -876.9916944402562 NaN -879.007084394223 -861.5563961227658
9.11925 -866.4457759303218 NaN -872.1760484958554 -877.5328563121875 NaN -871.2844917793986 NaN NaN -877.4133594843825 -875.2708103538254 NaN -871.6887616294866 NaN -867.1695149167135 NaN NaN -865.9010395012774 -873.4454471285744 NaN NaN NaN NaN NaN -873.7566765212218 -876.0074567893299 NaN -877.9421764240362 -860.3108842567915
9.372562499999999 -865.2713587463409 NaN -871.0741062241941 -876.4775454038345 NaN -870.3020891335367 NaN NaN -876.3595721105612 -874.261080773163 NaN -870.638965804414 NaN -866.0685770382045 NaN NaN -864.9768025691754 -872.4506763949493 NaN NaN NaN NaN NaN -872.77959739329 -875.0212606610027 NaN -876.875928947999 -859.0698532154759
9.625874999999999 -864.0999497121985 NaN -869.9705931623427 -875.428685107591 NaN -869.3213562942567 NaN NaN -875.3080845057225 -873.2535326172674 NaN -869.5915679952996 NaN -864.9713273846671 NaN NaN -864.0527317691664 -871.4572564248442 NaN NaN NaN NaN NaN -871.8037633213528 -874.0356751501789 NaN -875.805697966769 -857.8365912662507
9.8791875 -862.9312267536969 NaN -868.8697282915855 -874.386900786765 NaN -868.3210757120876 NaN NaN -874.2555820532721 -872.2606038592194 NaN -868.5461960228197 NaN -863.8750484515232 NaN NaN -863.1230280845728 -870.4719497657011 NaN NaN NaN NaN NaN -870.8316759528138 -873.0543436259081 NaN -874.7430341134094 -856.6019101216887
10.1325 -861.7604942244595 NaN -867.7712826508562 -873.3436822052995 NaN -867.3228656744478 NaN NaN -873.2052704294674 -871.2699267025903 NaN -867.503189716515 NaN -862.7807459018545 NaN NaN -862.1947399789744 -869.4900795670283 NaN NaN NaN NaN NaN -869.8619353996662 -872.0760318431479 NaN -873.6919829141978 -855.3509737216541
10.3858125 -860.5940886326225 NaN -866.674267740215 -872.2927864597345 NaN -866.3468452166393 NaN NaN -872.1560927018613 -870.2618132660625 NaN -866.4590579121109 NaN -861.6822776572084 NaN NaN -861.2804134338512 -868.5068223102512 NaN NaN NaN NaN NaN -868.8862210244918 -871.093065453244 NaN -872.6364766312092 -854.1047099268349
10.639125 -859.4379746799766 NaN -865.5745054613473 -871.2460530181123 NaN -865.3735173857917 NaN NaN -871.1091842464173 -869.255376175535 NaN -865.4171169007859 NaN -860.5865825474749 NaN NaN -860.3703278100729 -867.5253408622061 NaN NaN NaN NaN NaN -867.9123253857556 -870.1094404233229 NaN -871.5716734644055 -852.8697887434034
10.8924375 -858.280868494513 NaN -864.4778859583666 -870.2037115268512 NaN -864.3946064627338 NaN NaN -870.0657490030699 -868.2723032904207 NaN -864.3753240581402 NaN -859.4862244139101 NaN NaN -859.4408535454747 -866.5374552159242 NaN NaN NaN NaN NaN -866.9435984566488 -869.1291252755632 NaN -870.5098600481437 -851.6385498888926
11.14575 -857.110350216384 NaN -863.385876589604 -869.1591153181872 NaN -863.4167684610809 NaN NaN -869.0243657119736 -867.2895131549994 NaN -863.3357793916443 NaN -858.3891800259534 NaN NaN -858.5109460667117 -865.5504562016089 NaN NaN NaN NaN NaN -865.9775955742595 -868.1513646212657 NaN -869.4512887000217 -850.4109808767557
11.3990625 -855.9469850045614 NaN -862.2943930916267 -868.1136008560071 NaN -862.4351772094863 NaN NaN -867.9723830257883 -866.2815966705233 NaN -862.2909793531871 NaN -857.2948802867011 NaN NaN -857.5921076046961 -864.563066378102 NaN NaN NaN NaN NaN -865.0077151592268 -867.1749393374831 NaN -868.3943236309999 -849.1840186307027
11.652375 -854.7989892126582 NaN -861.1979290303035 -867.0717594660138 NaN -861.4558786490616 NaN NaN -866.9225693240419 -865.2758429760474 NaN -861.2479920775756 NaN -856.2038150914275 NaN NaN -856.676934984608 -863.5774181894991 NaN NaN NaN NaN NaN -864.0378875376114 -866.2001505113469 NaN -867.3385991849623 -847.9429033859287
11.905687499999999 -853.6483015683395 NaN -860.1039135867678 -866.0338325685333 NaN -860.4730479710513 NaN NaN -865.8718536505412 -864.2752641632921 NaN -860.2135291318709 NaN NaN NaN NaN -855.763046131686 -862.5920747659122 NaN NaN NaN NaN NaN -863.0664088046327 -865.22856411556 NaN -866.2861477000712 -846.7062034949737
12.158999999999999 -852.4824676415085 NaN -859.0116422923618 -864.9947454290788 NaN -859.4923755205818 NaN NaN -864.8232454224866 -863.2766883324582 NaN -859.1819776717999 NaN NaN NaN NaN -854.8509418755698 -861.6084435851233 NaN NaN NaN NaN NaN -862.0962390377189 -864.2596447926107 NaN -865.237525669318 -845.4761750488733
12.412312499999999 -851.3227270348092 NaN -857.9206113302332 -863.954366572714 NaN -858.5218250914434 NaN NaN -863.7817578988532 -862.2855699827587 NaN -858.1526004734724 NaN NaN NaN NaN -853.9375562746206 -860.6325413199326 NaN NaN NaN NaN NaN -861.1306859476194 -863.2847126828028 NaN -864.1816652684101 -844.2469247144031
12.665625 -850.1775146711611 NaN -856.8287448630149 -862.9181910295387 -848.7353523744401 -857.5530263139974 NaN NaN -862.7424112829348 -861.2963722362492 NaN -857.1253499072457 NaN NaN NaN NaN -853.0252571443239 -859.6597437964647 NaN NaN NaN NaN NaN -860.1678735956834 -862.3077780497183 NaN -863.1169242816638 -843.013270321033
12.9189375 -849.0293840542299 NaN -855.7392322099347 -861.8864730922602 -847.8330390348887 -856.5758108735342 NaN NaN -861.7021669066313 -860.3021436246912 NaN -856.096995498045 NaN NaN NaN NaN -852.104877769822 -858.6823840630868 NaN NaN NaN NaN NaN -859.2041439300782 -861.3358190719687 NaN -862.0584649807104 NaN
13.17225 -847.8678052377559 NaN -854.6517502966526 -860.8523440486925 -846.9347133837075 -855.6010989686515 NaN NaN -860.6640164644249 -859.310142369774 NaN -855.0701998465785 NaN NaN NaN NaN -851.1843444196936 -857.7051293451004 NaN NaN NaN NaN NaN -858.2410517461265 -860.3679283594744 NaN -861.0118002417796 NaN
13.4255625 -846.7110171938525 NaN -853.5656713313015 -859.815454161479 -846.0435937735448 -854.6294510654302 NaN NaN -859.6189138328656 -858.3309953366124 NaN -854.0355053889243 NaN NaN NaN NaN -850.2685938669223 -856.7239119622164 NaN NaN NaN NaN NaN -857.2757611562552 -859.3977139815112 NaN -859.9674172469727 NaN
