#Name Atoms/UnitCell Density[g/cm^3] ConfigEnergy[eV/H2O] EnergyWrtErhoConvexHull[eV/H2O]                  
         48_2_211880  16     1.189855  -473.571976     0.002872
           154_1_14p   6     1.189856  -473.574345     0.000502
          2_2_628593   4     1.189862  -473.573577     0.001269
            58_2_577   8     1.189865  -473.571341     0.003504
            53_2_728  16     1.189885  -473.542353     0.032488
          2_2_430324   4     1.189922  -473.572810     0.002023
         PCOD8047339  16     1.189922  -473.480823     0.094010
         PCOD8013458  16     1.190002  -473.499458     0.075357
         PCOD8032459  16     1.190023  -473.526903     0.047907
          14_2_26938   8     1.190034  -473.569801     0.005006
            18_2_868   8     1.190070  -473.570303     0.004496
         PCOD8234638  16     1.190070  -473.571061     0.003738
          16_2_87222   8     1.190089  -473.574750     0.000045
          14_2_24158   8     1.190109  -473.570092     0.004698
          14_2_47222   8     1.190125  -473.572811     0.001976
          158_2_4311  12     1.190127  -473.571098     0.003688
         51_3_107262   8     1.190175  -473.573814     0.000962
        62_3_7281931  20     1.190192  -473.573826     0.000946
           62_2_5868  12     1.190242  -473.571039     0.003722
         PCOD8047935  16     1.190249  -473.546676     0.028083
            51_2_347   8     1.190283  -473.571119     0.003632
           62_2_5968  12     1.190293  -473.570518     0.004231
         48_2_287419  16     1.190298  -473.571861     0.002887
          190_2_4383   8     1.190301  -473.572674     0.002073
          2_2_439545   4     1.190310  -473.574240     0.000505
          14_2_47225   8     1.190314  -473.572722     0.002022
         53_3_704143  20     1.190346  -473.570661     0.004076
          12_2_40763   4     1.190353  -473.574678     0.000058
           5_2_21825   4     1.190358  -473.574385     0.000349
